Room,Building,Floor,Description,ScannedAt,WiFi_Signals
418a,AB2,4,,2026-07-30T10:42:44.317Z,68:28:CF:74:8F:30:64%; 68:28:CF:76:C2:60:57%; 68:28:CF:74:8F:20:47%; 68:28:CF:76:B5:10:39%; 68:28:CF:76:C2:70:37%
418b,AB2,4,,2026-07-30T10:43:14.784Z,68:28:CF:76:C2:70:92%; 68:28:CF:76:C2:60:85%; 68:28:CF:76:7D:B0:47%; 68:28:CF:74:8F:30:25%
417a,AB2,4,,2026-07-30T10:43:48.654Z,68:28:CF:76:C2:60:97%; 68:28:CF:76:7D:B0:89%; 68:28:CF:76:7D:A0:72%; 68:28:CF:76:C2:70:60%; 68:28:CF:74:8F:30:20%
417b,AB2,4,,2026-07-30T10:44:30.249Z,68:28:CF:76:7D:B0:82%; 68:28:CF:76:C2:60:69%; 68:28:CF:76:C2:70:37%; 68:28:CF:63:6D:70:27%
410 faculty cabin a,AB2,4,,2026-07-30T10:45:55.656Z,68:28:CF:63:6D:70:80%; 68:28:CF:63:6D:60:64%; 68:28:CF:76:7D:B0:35%
415a,AB2,4,,2026-07-30T10:49:28.284Z,68:28:CF:63:E9:F0:74%; 68:28:CF:63:E9:E0:70%; 68:28:CF:63:5B:50:42%; 68:28:CF:76:7D:B0:30%
415b,AB2,4,,2026-07-30T10:49:57.683Z,68:28:CF:63:E9:F0:75%; 68:28:CF:63:5B:50:20%
414a,AB2,4,,2026-07-30T10:50:40.273Z,68:28:CF:63:5B:40:79%; 68:28:CF:63:5B:50:79%; 68:28:CF:63:E9:F0:35%
414b,AB2,4,,2026-07-30T10:51:03.921Z,68:28:CF:63:5B:40:84%; 68:28:CF:63:5B:50:57%; 68:28:CF:63:E9:E0:40%; 68:28:CF:76:BD:C0:29%
409a,AB2,4,,2026-07-30T10:55:39.192Z,68:28:CF:63:C9:50:45%; 68:28:CF:63:6D:60:42%; 68:28:CF:63:49:C0:42%; 68:28:CF:63:96:30:42%; 68:28:CF:63:96:20:39%; 68:28:CF:63:6D:70:19%; 68:28:CF:63:52:B0:19%
409b,AB2,4,,2026-07-30T10:56:16.444Z,68:28:CF:63:49:D0:59%; 68:28:CF:63:96:20:57%; 68:28:CF:63:96:30:57%; 68:28:CF:63:49:C0:55%; 68:28:CF:63:52:B0:20%; 68:28:CF:63:7D:10:19%
,,,,,
408a,AB2,4,,2026-08-11T15:35:30.398Z,B0:27:CF:B7:50:60:87%; B0:27:CF:B7:50:70:73%; B0:27:CF:B7:51:60:57%; 4C:23:1A:00:F2:D1:57%; B0:27:CF:B6:FC:80:42%; 48:9B:D5:F8:18:C0:29%; B0:27:CF:B6:FE:00:27%; B0:27:CF:B7:2D:40:24%; B0:27:CF:B7:51:70:24%; B0:27:CF:B6:FC:90:20%
