Room,Building,Floor,Description,ScannedAt,WiFi_Signals
"418a","AB2","4","","2026-07-30T10:42:44.317Z","68:28:CF:74:8F:30:64%; 68:28:CF:76:C2:60:57%; 68:28:CF:74:8F:20:47%; 68:28:CF:76:B5:10:39%; 68:28:CF:76:C2:70:37%"
"418b","AB2","4","","2026-07-30T10:43:14.784Z","68:28:CF:76:C2:70:92%; 68:28:CF:76:C2:60:85%; 68:28:CF:76:7D:B0:47%; 68:28:CF:74:8F:30:25%"
"417a","AB2","4","","2026-07-30T10:43:48.654Z","68:28:CF:76:C2:60:97%; 68:28:CF:76:7D:B0:89%; 68:28:CF:76:7D:A0:72%; 68:28:CF:76:C2:70:60%; 68:28:CF:74:8F:30:20%"
"417b","AB2","4","","2026-07-30T10:44:30.249Z","68:28:CF:76:7D:B0:82%; 68:28:CF:76:C2:60:69%; 68:28:CF:76:C2:70:37%; 68:28:CF:63:6D:70:27%"
"410 faculty cabin a","AB2","4","","2026-07-30T10:45:55.656Z","68:28:CF:63:6D:70:80%; 68:28:CF:63:6D:60:64%; 68:28:CF:76:7D:B0:35%"
"416a","AB2","4","","2026-07-30T10:47:39.600Z","68:28:CF:63:E9:F0:39%; 68:28:CF:63:6D:70:37%"
"416b","AB2","4","","2026-07-30T10:48:20.427Z","68:28:CF:63:E9:F0:40%; 68:28:CF:63:6D:70:31%"
"415a","AB2","4","","2026-07-30T10:49:28.284Z","68:28:CF:63:E9:F0:74%; 68:28:CF:63:E9:E0:70%; 68:28:CF:63:5B:50:42%; 68:28:CF:76:7D:B0:30%"
"415b","AB2","4","","2026-07-30T10:49:57.683Z","68:28:CF:63:E9:F0:75%; 68:28:CF:63:5B:50:20%"
"414a","AB2","4","","2026-07-30T10:50:40.273Z","68:28:CF:63:5B:40:79%; 68:28:CF:63:5B:50:79%; 68:28:CF:63:E9:F0:35%"
"414b","AB2","4","","2026-07-30T10:51:03.921Z","68:28:CF:63:5B:40:84%; 68:28:CF:63:5B:50:57%; 68:28:CF:63:E9:E0:40%; 68:28:CF:76:BD:C0:29%"
"boys washroom","AB2","4","near 414","2026-07-30T10:54:23.118Z","68:28:CF:63:5B:50:32%"
"409a","AB2","4","","2026-07-30T10:55:39.192Z","68:28:CF:63:C9:50:45%; 68:28:CF:63:6D:60:42%; 68:28:CF:63:49:C0:42%; 68:28:CF:63:96:30:42%; 68:28:CF:63:96:20:39%; 68:28:CF:63:6D:70:19%; 68:28:CF:63:52:B0:19%"
"409b","AB2","4","","2026-07-30T10:56:16.444Z","68:28:CF:63:49:D0:59%; 68:28:CF:63:96:20:57%; 68:28:CF:63:96:30:57%; 68:28:CF:63:49:C0:55%; 68:28:CF:63:52:B0:20%; 68:28:CF:63:7D:10:19%"
"408a","AB2","4","","2026-07-30T10:57:13.076Z","68:28:CF:63:C9:40:80%; 68:28:CF:63:C9:50:77%; 68:28:CF:63:96:20:70%; 68:28:CF:63:52:A0:69%; 68:28:CF:63:49:C0:64%; 68:28:CF:63:52:B0:57%; 68:28:CF:63:49:D0:39%; 68:28:CF:63:96:30:20%; 68:28:CF:74:C7:30:14%"
"408b","AB2","4","","2026-07-30T10:57:35.875Z","68:28:CF:63:C9:40:82%; 68:28:CF:63:C9:50:63%; 68:28:CF:63:52:B0:55%; 68:28:CF:63:52:A0:54%; 68:28:CF:63:49:C0:45%; 68:28:CF:63:49:D0:24%; 68:28:CF:63:96:30:17%"
"faculty cabin","AB2","4","near 408","2026-07-30T10:58:48.065Z","68:28:CF:63:E0:B0:74%; 68:28:CF:63:E0:A0:64%; 68:28:CF:63:E7:20:35%; 68:28:CF:63:E7:30:32%; 68:28:CF:63:E6:40:25%; 68:28:CF:74:2A:20:22%; 68:28:CF:63:C9:50:17%"
"403a","AB2","4","","2026-07-30T10:59:56.367Z","68:28:CF:63:E7:20:100%; 68:28:CF:63:E7:30:80%; 68:28:CF:74:C7:20:74%; 68:28:CF:74:C7:30:57%; 68:28:CF:74:2A:20:45%; 68:28:CF:63:E0:B0:15%; 68:28:CF:74:2A:30:15%"
"403b","AB2","4","","2026-07-30T11:00:28.834Z","68:28:CF:74:C7:30:85%; 68:28:CF:74:C7:20:82%; 68:28:CF:63:E7:30:59%; 68:28:CF:63:E7:20:57%; 68:28:CF:74:2A:20:39%; 68:28:CF:63:E0:A0:24%; 68:28:CF:74:2A:30:20%"
"404a","AB2","4","","2026-07-30T11:01:32.279Z","68:28:CF:74:2A:30:82%; 68:28:CF:74:2A:20:79%; 68:28:CF:74:C7:20:40%; 68:28:CF:74:C7:30:32%; 68:28:CF:63:E7:20:29%"
"4o4b","AB2","4","","2026-07-30T11:01:57.838Z","68:28:CF:74:2A:20:79%; 68:28:CF:74:2A:30:67%; 68:28:CF:74:C7:20:40%; 68:28:CF:63:E7:20:35%; 68:28:CF:63:E7:30:19%; 68:28:CF:74:C7:30:17%"
